29.67,49.05,0
29.78,48.47,0
29.97,48.03,0
30.24,47.58,0
30.54,47.10,0
30.91,46.69,0
31.18,46.40,0
31.45,45.98,0
31.75,45.42,0
31.99,45.39,0
32.22,47.58,0
32.40,47.13,0
32.59,45.97,0
32.78,45.01,0
32.95,44.22,0
33.10,43.57,1
33.25,43.12,1
33.38,42.77,1
33.51,42.40,1
33.63,42.15,1
33.73,41.97,1
33.83,41.83,1
33.91,41.73,1
34.00,41.64,1
34.09,41.62,1
34.16,41.48,1
34.22,41.28,1
34.28,41.10,1
34.33,40.93,1
34.39,40.92,1
34.43,41.02,1
34.47,41.12,1
34.50,41.19,1
34.51,41.16,1
34.55,41.16,1
34.56,41.28,1
34.57,41.24,1
34.55,41.06,1
34.55,41.02,1
34.54,41.00,1
34.46,41.23,1
34.33,41.49,1
34.21,41.65,1
34.11,41.52,1
33.98,41.64,1
33.89,41.51,1
33.77,41.34,1
33.67,41.20,1
33.58,41.23,1
33.49,41.26,1
33.37,41.25,1
33.31,41.26,1
33.22,41.27,1
33.11,41.35,1
33.02,41.38,1
32.96,41.43,0
32.87,41.44,0
32.80,41.47,0
32.73,41.57,0
32.65,41.69,0
32.59,41.83,0
32.51,41.99,0
32.45,42.16,0
32.39,42.25,0
32.34,42.26,0
32.27,42.32,0
32.24,42.37,0
32.18,42.54,0
32.13,42.76,0
32.08,42.90,0
32.01,42.97,0
31.97,42.88,0
31.91,42.85,0
31.87,42.83,0
31.82,42.95,0
31.76,43.08,0
31.71,43.06,0
31.65,42.95,0
31.61,42.96,0
31.56,43.00,0
31.51,42.97,0
31.47,43.04,0
31.42,43.13,0
31.37,43.31,0
31.32,43.54,0
31.29,43.72,0
31.23,43.79,0
31.21,43.81,0
31.17,43.78,0
31.15,43.81,0
31.12,43.84,0
31.10,43.86,0
31.06,43.83,0
31.03,43.84,0
31.01,43.94,0
30.99,44.00,0
30.97,44.16,0
30.98,44.50,0
31.19,44.40,0
31.54,44.04,0
31.82,43.63,0
32.13,43.31,0
32.37,43.07,0
32.63,42.86,0
32.89,42.64,0
33.15,42.35,1
33.37,42.11,1
33.62,41.84,1
33.83,41.61,1
34.04,41.51,1
34.23,41.48,1
34.43,41.47,1
34.61,41.39,1
34.79,41.22,1
34.97,41.09,1
35.12,40.77,1
35.25,40.34,1
35.17,40.58,1
35.20,40.08,1
35.29,39.68,1
35.46,39.41,1
35.58,39.12,1
35.72,38.87,1
35.84,38.66,1
36.10,38.55,1
36.37,38.55,1
36.55,40.10,1
36.69,40.60,1
36.81,41.51,1
36.95,41.68,1
37.09,40.39,1
37.21,39.41,1
37.32,38.72,1
37.42,38.30,1
37.55,37.89,1
37.64,37.60,1
37.70,37.37,1
37.74,37.23,1
37.68,37.19,1
37.54,37.22,1
37.42,37.37,1
37.29,37.73,1
37.19,37.78,1
37.21,37.48,1
37.21,37.34,1
37.09,37.38,1
37.00,37.57,1
36.89,37.77,1
36.81,37.92,1
36.74,38.18,1
36.66,38.35,1
36.57,38.55,1
36.48,38.59,1
36.40,38.66,1
36.31,38.67,1
36.23,38.71,1
36.16,38.70,1
36.09,38.75,1
36.03,38.79,1
35.95,38.73,1
35.89,38.66,1
35.84,38.66,1
35.84,38.71,1
36.04,38.58,1
36.30,38.39,1
36.51,38.12,1
36.73,37.83,1
36.91,37.72,1
37.07,37.78,1
37.09,37.96,1
36.95,38.06,1
36.83,38.21,1
36.73,38.50,1
36.62,44.76,1
36.48,48.11,1
36.37,50.01,1
36.22,48.24,1
36.07,44.22,1
35.97,44.52,1
35.84,49.16,1
35.71,47.18,1
35.56,43.89,1
35.43,42.70,1
35.32,48.15,1
35.18,52.26,1
35.05,53.16,1
34.90,52.14,1
34.76,50.19,1
34.62,47.32,1
34.49,44.68,1
34.36,42.93,1
34.04,44.10,1
33.62,45.72,1
33.24,46.75,1
32.86,47.50,0
32.24,49.41,0
31.75,51.91,0
31.53,51.18,0
31.46,49.15,0
31.39,47.30,0
31.31,46.19,0
31.21,45.41,0
31.14,44.91,0
31.06,44.70,0
31.01,44.58,0
30.95,44.60,0
30.89,44.63,0
30.84,44.60,0
30.79,44.48,0
30.75,44.45,0
30.70,44.48,0
30.65,44.41,0
30.62,44.29,0
30.57,44.18,0
30.53,44.05,0
30.49,43.94,0
30.44,44.06,0
30.42,44.10,0
30.37,44.03,0
30.34,43.99,0
30.31,44.01,0
30.27,44.11,0
